Date, Open, High, Low, Close
03/01/18, 2715.22, 2730.89, 2659.65, 2677.67
02/28/18, 2753.78, 2761.52, 2713.54, 2713.83
02/27/18, 2780.45, 2789.15, 2744.22, 2744.28
02/26/18, 2757.37, 2780.64, 2753.78, 2779.60
02/23/18, 2715.80, 2747.76, 2713.74, 2747.30
02/22/18, 2710.42, 2731.26, 2697.77, 2703.96
02/21/18, 2720.53, 2747.75, 2701.29, 2701.33
02/20/18, 2726.01, 2737.60, 2706.76, 2716.26
02/16/18, 2727.14, 2754.42, 2725.11, 2732.22
02/15/18, 2713.46, 2731.51, 2689.82, 2731.20
02/14/18, 2651.21, 2702.10, 2648.87, 2698.63
02/13/18, 2646.27, 2668.84, 2637.08, 2662.94
02/12/18, 2636.75, 2672.61, 2622.45, 2656.00
02/09/18, 2601.78, 2638.67, 2532.69, 2619.55
02/08/18, 2685.01, 2685.27, 2580.56, 2581.00
02/07/18, 2690.95, 2727.67, 2681.33, 2681.66
02/06/18, 2614.78, 2701.04, 2593.07, 2695.14
02/05/18, 2741.06, 2763.39, 2638.17, 2648.94
02/02/18, 2808.92, 2808.92, 2759.97, 2762.13
02/01/18, 2816.45, 2835.96, 2812.70, 2821.98
01/31/18, 2832.41, 2839.26, 2813.04, 2823.81
01/30/18, 2832.74, 2837.75, 2818.27, 2822.43
01/29/18, 2867.23, 2870.62, 2851.48, 2853.53
01/26/18, 2847.48, 2872.87, 2846.18, 2872.87
01/25/18, 2846.24, 2848.56, 2830.94, 2839.25
01/24/18, 2845.42, 2852.97, 2824.81, 2837.54
01/23/18, 2835.05, 2842.24, 2830.59, 2839.13
01/22/18, 2809.16, 2833.03, 2808.12, 2832.97
01/19/18, 2802.60, 2810.33, 2798.08, 2810.30
01/18/18, 2802.40, 2805.83, 2792.56, 2798.03
01/17/18, 2784.99, 2807.04, 2778.38, 2802.56
01/16/18, 2798.96, 2807.54, 2768.64, 2776.42
01/12/18, 2770.18, 2787.85, 2769.64, 2786.24
01/11/18, 2752.97, 2767.56, 2752.78, 2767.56
01/10/18, 2745.55, 2750.80, 2736.06, 2748.23
01/09/18, 2751.15, 2759.14, 2747.86, 2751.29
01/08/18, 2742.67, 2748.51, 2737.60, 2747.71
01/05/18, 2731.33, 2743.45, 2727.92, 2743.15
01/04/18, 2719.31, 2729.29, 2719.07, 2723.99
01/03/18, 2697.85, 2714.37, 2697.77, 2713.06
01/02/18, 2683.73, 2695.89, 2682.36, 2695.81
12/29/17, 2689.15, 2692.12, 2673.61, 2673.61
12/28/17, 2686.10, 2687.66, 2682.69, 2687.54
12/27/17, 2682.10, 2685.64, 2678.91, 2682.62
12/26/17, 2679.09, 2682.74, 2677.96, 2680.50
12/22/17, 2684.22, 2685.35, 2678.13, 2683.34
12/21/17, 2683.02, 2692.64, 2682.40, 2684.57
12/20/17, 2688.18, 2691.01, 2676.11, 2679.25
12/19/17, 2692.71, 2694.44, 2680.74, 2681.47
12/18/17, 2685.92, 2694.97, 2685.92, 2690.16
12/15/17, 2660.63, 2679.63, 2659.14, 2675.81
12/14/17, 2665.87, 2668.09, 2652.01, 2652.01
12/13/17, 2667.59, 2671.88, 2662.85, 2662.85
12/12/17, 2661.73, 2669.72, 2659.78, 2664.11
12/11/17, 2652.19, 2660.33, 2651.47, 2659.99
12/08/17, 2646.21, 2651.65, 2644.10, 2651.50
12/07/17, 2628.38, 2640.99, 2626.53, 2636.98
12/06/17, 2626.24, 2634.41, 2624.75, 2629.27
12/05/17, 2639.78, 2648.72, 2627.73, 2629.57
12/04/17, 2657.19, 2665.19, 2639.03, 2639.44
12/01/17, 2645.10, 2650.62, 2605.52, 2642.22
11/30/17, 2633.93, 2657.74, 2633.93, 2647.58
11/29/17, 2627.82, 2634.89, 2620.32, 2626.07
11/28/17, 2605.94, 2627.69, 2605.44, 2627.04
11/27/17, 2602.66, 2606.41, 2598.87, 2601.42
11/24/17, 2600.42, 2604.21, 2600.42, 2602.42
11/22/17, 2600.31, 2600.94, 2595.23, 2597.08
11/21/17, 2589.17, 2601.19, 2589.17, 2599.03
11/20/17, 2579.49, 2584.64, 2578.24, 2582.14
11/17/17, 2582.94, 2583.96, 2577.62, 2578.85
11/16/17, 2572.95, 2590.09, 2572.95, 2585.64
11/15/17, 2569.45, 2572.84, 2557.45, 2564.62
11/14/17, 2577.75, 2579.66, 2566.56, 2578.87
11/13/17, 2576.53, 2587.66, 2574.48, 2584.84
11/10/17, 2580.18, 2583.81, 2575.57, 2582.30
11/09/17, 2584.00, 2586.50, 2566.33, 2584.62
11/08/17, 2588.71, 2595.47, 2585.02, 2594.38
11/07/17, 2592.11, 2597.02, 2584.35, 2590.64
11/06/17, 2587.47, 2593.38, 2585.66, 2591.13
11/03/17, 2581.93, 2588.42, 2576.77, 2587.84
11/02/17, 2579.46, 2581.11, 2566.17, 2579.85
11/01/17, 2583.21, 2588.40, 2574.92, 2579.36
10/31/17, 2575.99, 2578.29, 2572.15, 2575.26
10/30/17, 2577.75, 2580.03, 2568.25, 2572.83
10/27/17, 2570.26, 2582.98, 2565.94, 2581.07
10/26/17, 2560.08, 2567.07, 2559.80, 2560.40
10/25/17, 2566.52, 2567.40, 2544.00, 2557.15
10/24/17, 2568.66, 2572.18, 2565.58, 2569.13
10/23/17, 2578.08, 2578.29, 2564.33, 2564.98
10/20/17, 2567.56, 2575.44, 2567.56, 2575.21
10/19/17, 2553.39, 2562.36, 2547.92, 2562.10
10/18/17, 2562.87, 2564.11, 2559.67, 2561.26
10/17/17, 2557.17, 2559.71, 2554.69, 2559.36
10/16/17, 2555.57, 2559.47, 2552.64, 2557.64
10/13/17, 2555.66, 2557.65, 2552.09, 2553.17
10/12/17, 2552.88, 2555.33, 2548.31, 2550.93
10/11/17, 2550.62, 2555.24, 2547.95, 2555.24
10/10/17, 2549.99, 2555.23, 2544.86, 2550.64
10/09/17, 2551.39, 2551.82, 2541.60, 2544.73
10/06/17, 2547.44, 2549.41, 2543.79, 2549.33
10/05/17, 2540.86, 2552.51, 2540.02, 2552.07
10/04/17, 2533.48, 2540.53, 2531.80, 2537.74
10/03/17, 2530.34, 2535.13, 2528.85, 2534.58
10/02/17, 2521.20, 2529.23, 2520.40, 2529.12
09/29/17, 2509.96, 2519.44, 2507.99, 2519.36
09/28/17, 2503.41, 2510.81, 2502.93, 2510.06
09/27/17, 2503.30, 2511.75, 2495.91, 2507.04
09/26/17, 2501.04, 2503.51, 2495.12, 2496.84
09/25/17, 2499.39, 2502.54, 2488.03, 2496.66
09/22/17, 2497.26, 2503.47, 2496.54, 2502.22
09/21/17, 2507.16, 2507.16, 2499.00, 2500.60
09/20/17, 2506.84, 2508.85, 2496.67, 2508.24
09/19/17, 2506.29, 2507.84, 2503.19, 2506.65
09/18/17, 2502.51, 2508.32, 2499.92, 2503.87
09/15/17, 2495.67, 2500.23, 2493.16, 2500.23
09/14/17, 2494.56, 2498.43, 2491.35, 2495.62
09/13/17, 2493.89, 2498.37, 2492.14, 2498.37
09/12/17, 2491.94, 2496.77, 2490.37, 2496.48
09/11/17, 2474.52, 2488.95, 2474.52, 2488.11
09/08/17, 2462.25, 2467.11, 2459.40, 2461.43
09/07/17, 2468.06, 2468.62, 2460.29, 2465.10
09/06/17, 2463.83, 2469.64, 2459.20, 2465.54
09/05/17, 2470.35, 2471.97, 2446.55, 2457.85
09/01/17, 2474.42, 2480.38, 2473.85, 2476.55
08/31/17, 2462.65, 2475.01, 2462.65, 2471.65
08/30/17, 2446.06, 2460.31, 2443.77, 2457.59
08/29/17, 2431.94, 2449.19, 2428.20, 2446.30
08/28/17, 2447.35, 2449.12, 2439.03, 2444.24
08/25/17, 2444.72, 2453.96, 2442.22, 2443.05
08/24/17, 2447.91, 2450.39, 2436.19, 2438.97
08/23/17, 2444.88, 2448.91, 2441.42, 2444.04
08/22/17, 2433.75, 2454.77, 2433.67, 2452.51
08/21/17, 2425.50, 2430.58, 2417.35, 2428.37
08/18/17, 2427.64, 2440.27, 2420.69, 2425.55
08/17/17, 2462.95, 2465.02, 2430.01, 2430.01
08/16/17, 2468.63, 2474.93, 2463.86, 2468.11
08/15/17, 2468.66, 2468.90, 2461.61, 2464.61
08/14/17, 2454.96, 2468.22, 2454.96, 2465.84
08/11/17, 2441.04, 2448.09, 2437.85, 2441.32
08/10/17, 2465.38, 2465.38, 2437.75, 2438.21
08/09/17, 2465.35, 2474.41, 2462.08, 2474.02
08/08/17, 2478.35, 2490.87, 2470.32, 2474.92
08/07/17, 2477.14, 2480.95, 2475.88, 2480.91
08/04/17, 2476.88, 2480.00, 2472.08, 2476.83
08/03/17, 2476.03, 2476.03, 2468.85, 2472.16
08/02/17, 2480.38, 2480.38, 2466.48, 2477.57
