date,equity
2017-02-28,1.0
2017-03-01,1.0
2017-03-02,1.0
2017-03-03,1.0
2017-03-04,1.0
2017-03-05,1.0
2017-03-06,1.0
2017-03-07,1.0
2017-03-08,1.0
2017-03-09,1.0
2017-03-10,1.0
2017-03-11,1.0
2017-03-12,1.0
2017-03-13,1.0
2017-03-14,1.0
2017-03-15,1.0
2017-03-16,1.0
2017-03-17,1.0
2017-03-18,1.0
2017-03-19,1.0
2017-03-20,1.0
2017-03-21,1.0
2017-03-22,1.0
2017-03-23,1.0
2017-03-24,1.0
2017-03-25,1.0
2017-03-26,1.0
2017-03-27,1.0
2017-03-28,1.0
2017-03-29,1.0
2017-03-30,1.0
2017-03-31,1.0
2017-04-01,1.0
2017-04-02,1.0
2017-04-03,1.0
2017-04-04,1.0
2017-04-05,1.0
2017-04-06,1.0
2017-04-07,1.0
2017-04-08,1.0
2017-04-09,1.0
2017-04-10,1.0
2017-04-11,1.0
2017-04-12,1.0
2017-04-13,1.0
2017-04-14,1.0
2017-04-15,1.0
2017-04-16,1.0
2017-04-17,1.0
2017-04-18,1.0
2017-04-19,1.0
2017-04-20,1.002714317884977
2017-04-21,1.0065819999594727
2017-04-22,1.0065819999594727
2017-04-23,1.0065819999594727
2017-04-24,1.0070106565517913
2017-04-25,1.0145379228176004
2017-04-26,1.0052227895709591
2017-04-27,1.0125801025436816
2017-04-28,1.0043052934522088
2017-04-29,1.0043052934522088
2017-04-30,1.0043052934522088
2017-05-01,1.0018716327355346
2017-05-02,1.0036755753438675
2017-05-03,1.0006973019892187
2017-05-04,0.9967184245373826
2017-05-05,1.0096597206193356
2017-05-06,1.0096597206193356
2017-05-07,1.0096597206193356
2017-05-08,1.0053598983123346
2017-05-09,1.0057305279839133
2017-05-10,0.9996797048264665
2017-05-11,1.0008202720958463
2017-05-12,0.9961741536082638
2017-05-13,0.9961741536082638
2017-05-14,0.9961741536082638
2017-05-15,0.9950726405387252
2017-05-16,0.9890475194978637
2017-05-17,0.9906171397997615
2017-05-18,0.9937949057674745
2017-05-19,1.0001514280535715
2017-05-20,1.0001514280535715
2017-05-21,1.0001514280535715
2017-05-22,1.0030627211671943
2017-05-23,1.004978279843199
2017-05-24,1.001523693114501
2017-05-25,1.002825603790943
2017-05-26,1.002815940225366
2017-05-27,1.002815940225366
2017-05-28,1.002815940225366
2017-05-29,1.002815940225366
2017-05-30,1.007307510692819
2017-05-31,1.0109069814837368
2017-06-01,1.0134188917277833
2017-06-02,1.0097859690537476
2017-06-03,1.0097859690537476
2017-06-04,1.0097859690537476
2017-06-05,1.0070738551216736
2017-06-06,1.0170046721141384
2017-06-07,1.010551337901112
2017-06-08,1.0128273318091732
2017-06-09,1.0265385459452108
2017-06-10,1.0265385459452108
2017-06-11,1.0265385459452108
2017-06-12,1.0263411522345696
2017-06-13,1.0283316147048729
2017-06-14,1.0166974857919095
2017-06-15,1.017242517655073
2017-06-16,1.0311320741075163
2017-06-17,1.0311320741075163
2017-06-18,1.0311320741075163
2017-06-19,1.032409595952964
2017-06-20,1.0235700312443194
2017-06-21,1.0176741303645174
2017-06-22,1.0147657881737115
2017-06-23,1.0226956634418083
2017-06-24,1.0226956634418083
2017-06-25,1.0226956634418083
2017-06-26,1.0203114508302795
2017-06-27,1.0107670438720096
2017-06-28,1.0146587842107573
2017-06-29,1.0008173082035625
2017-06-30,1.0022298314875353
2017-07-01,1.0022298314875353
2017-07-02,1.0022298314875353
2017-07-03,0.9971839306915173
2017-07-04,0.9971839306915173
2017-07-05,0.9970219865950946
2017-07-06,0.9918090113394988
2017-07-07,0.9821926999634488
2017-07-08,0.9821926999634488
2017-07-09,0.9821926999634488
2017-07-10,0.9835836691924909
2017-07-11,0.9879075849734167
2017-07-12,0.9896977261033889
2017-07-13,0.991042807517641
2017-07-14,0.9942911641989962
2017-07-15,0.9942911641989962
2017-07-16,0.9942911641989962
2017-07-17,0.9939722855974382
2017-07-18,0.9911344344063999
2017-07-19,0.9907448053080599
2017-07-20,0.9922125390688503
2017-07-21,0.9950292996767691
2017-07-22,0.9950292996767691
2017-07-23,0.9950292996767691
2017-07-24,0.9928466268081251
2017-07-25,1.0013240510984542
2017-07-26,0.9934359543298429
2017-07-27,0.9938759145430112
2017-07-28,0.9984923937047898
2017-07-29,0.9984923937047898
2017-07-30,0.9984923937047898
2017-07-31,1.0137273581543795
2017-08-01,1.0268709081656766
2017-08-02,1.0287466430650236
2017-08-03,1.0306885944986914
2017-08-04,1.0256461564421238
2017-08-05,1.0256461564421238
2017-08-06,1.0256461564421238
2017-08-07,1.0297004846682045
2017-08-08,1.0229203332378765
2017-08-09,1.0173255431158885
2017-08-10,1.00994851665692
2017-08-11,1.0146897634849958
2017-08-12,1.0146897634849958
2017-08-13,1.0146897634849958
2017-08-14,1.013984365462615
2017-08-15,1.0058989030193324
2017-08-16,1.011648007881433
2017-08-17,1.009471166810172
2017-08-18,1.004589365932584
2017-08-19,1.004589365932584
2017-08-20,1.004589365932584
2017-08-21,1.0054556685929932
2017-08-22,1.0137064157956592
2017-08-23,1.0128977592740247
2017-08-24,1.0079706084259608
2017-08-25,1.013225924781746
2017-08-26,1.013225924781746
2017-08-27,1.013225924781746
2017-08-28,1.0089215777071117
2017-08-29,1.0202954391618824
2017-08-30,1.0243008045587687
2017-08-31,1.0283086333372338
2017-09-01,1.0259379682988088
2017-09-02,1.0259379682988088
2017-09-03,1.0259379682988088
2017-09-04,1.0259379682988088
2017-09-05,1.0211240579938856
2017-09-06,1.020926688761496
2017-09-07,1.036688621726845
2017-09-08,1.059426247300205
2017-09-09,1.059426247300205
2017-09-10,1.059426247300205
2017-09-11,1.0720161394880048
2017-09-12,1.0789990483857417
2017-09-13,1.081013375841263
2017-09-14,1.0680337211024553
2017-09-15,1.0759613742160334
2017-09-16,1.0759613742160334
2017-09-17,1.0759613742160334
2017-09-18,1.0731765335574153
2017-09-19,1.0679021784727003
2017-09-20,1.0709713588536303
2017-09-21,1.070514976521273
2017-09-22,1.074813207634266
2017-09-23,1.074813207634266
2017-09-24,1.074813207634266
2017-09-25,1.090626872250374
2017-09-26,1.0875343967729583
2017-09-27,1.0879226763264072
2017-09-28,1.0899094307781654
2017-09-29,1.089924186409618
2017-09-30,1.089924186409618
2017-10-01,1.089924186409618
2017-10-02,1.087919161208878
2017-10-03,1.0842235699057379
2017-10-04,1.0851087029537636
2017-10-05,1.0913802333247324
2017-10-06,1.085987722773291
2017-10-07,1.085987722773291
2017-10-08,1.085987722773291
2017-10-09,1.0822351537507422
2017-10-10,1.0752722737113372
2017-10-11,1.073878812778812
2017-10-12,1.0869687421926872
2017-10-13,1.084964162930615
2017-10-14,1.084964162930615
2017-10-15,1.084964162930615
2017-10-16,1.0847755481945232
2017-10-17,1.0872933858015719
2017-10-18,1.097708657908615
2017-10-19,1.1105137150001605
2017-10-20,1.1169170124538292
2017-10-21,1.1169170124538292
2017-10-22,1.1169170124538292
2017-10-23,1.1094351351072436
2017-10-24,1.0997087355455866
2017-10-25,1.098365343190345
2017-10-26,1.1219883973309046
2017-10-27,1.1322341897516626
2017-10-28,1.1322341897516626
2017-10-29,1.1322341897516626
2017-10-30,1.1304917488858202
2017-10-31,1.1300155036758315
2017-11-01,1.1218012339764172
2017-11-02,1.1255273864264361
2017-11-03,1.139942138045007
2017-11-04,1.139942138045007
2017-11-05,1.139942138045007
2017-11-06,1.1431032355023607
2017-11-07,1.1344121016195614
2017-11-08,1.1344121016195614
2017-11-09,1.137678232479804
2017-11-10,1.1328327938907434
2017-11-11,1.1328327938907434
2017-11-12,1.1328327938907434
2017-11-13,1.132099626096749
2017-11-14,1.1358473760820265
2017-11-15,1.153471407813664
2017-11-16,1.1562646554599856
2017-11-17,1.1409385760194368
2017-11-18,1.1409385760194368
2017-11-19,1.1409385760194368
2017-11-20,1.132201444313392
2017-11-21,1.1498440508655006
2017-11-22,1.144429790907926
2017-11-23,1.144429790907926
2017-11-24,1.1523093691786683
2017-11-25,1.1523093691786683
2017-11-26,1.1523093691786683
2017-11-27,1.1627519572154985
2017-11-28,1.17853221294995
2017-11-29,1.1750005332558968
2017-11-30,1.1798140889895385
2017-12-01,1.17674435366408
2017-12-02,1.17674435366408
2017-12-03,1.17674435366408
2017-12-04,1.1717603537620183
2017-12-05,1.1685190492656465
2017-12-06,1.1738978981064676
2017-12-07,1.1763002543088554
2017-12-08,1.1761385219689866
2017-12-09,1.1761385219689866
2017-12-10,1.1761385219689866
2017-12-11,1.1824844162360915
2017-12-12,1.1876092007278896
2017-12-13,1.1871452988371014
2017-12-14,1.178342559114481
2017-12-15,1.1886593373345697
2017-12-16,1.1886593373345697
2017-12-17,1.1886593373345697
2017-12-18,1.1906947886340327
2017-12-19,1.190553132624537
2017-12-20,1.1900779153558618
2017-12-21,1.1842174048347702
2017-12-22,1.2091948552564278
2017-12-23,1.2091948552564278
2017-12-24,1.2091948552564278
2017-12-25,1.2091948552564278
2017-12-26,1.210439991919065
2017-12-27,1.209901182677571
2017-12-28,1.209207953678034
2017-12-29,1.202144724658484
2017-12-30,1.202144724658484
2017-12-31,1.202144724658484
2018-01-01,1.202144724658484
2018-01-02,1.2184060134611256
2018-01-03,1.2303468359357055
2018-01-04,1.2335686755432085
2018-01-05,1.2392945875942871
2018-01-06,1.2392945875942871
2018-01-07,1.2392945875942871
2018-01-08,1.248918269521348
2018-01-09,1.24393520301784
2018-01-10,1.247330880351761
2018-01-11,1.2514191110580002
2018-01-12,1.2622499157164788
2018-01-13,1.2622499157164788
2018-01-14,1.2622499157164788
2018-01-15,1.2622499157164788
2018-01-16,1.2494424919848575
