Data/data_not_bias/CSCO.csv,Data/data_not_bias/UAL.csv,Data/data_not_bias/TROW.csv,Data/data_not_bias/ISRG.csv,Data/data_not_bias/PRGO.csv,Data/data_not_bias/LUK.csv,Data/data_not_bias/TPR.csv,Data/data_not_bias/DVN.csv,Data/data_not_bias/NU.csv,Data/data_not_bias/MRO.csv,Data/data_not_bias/BA.csv,Data/data_not_bias/VRTX.csv,Data/data_not_bias/GILD.csv,Data/data_not_bias/BXLT.csv,Data/data_not_bias/SLM.csv,Data/data_not_bias/NLSN.csv,Data/data_not_bias/THC.csv,Data/data_not_bias/EQIX.csv,Data/data_not_bias/TER.csv,Data/data_not_bias/TIF.csv,Data/data_not_bias/MDT.csv,Data/data_not_bias/FTR.csv,Data/data_not_bias/V.csv,Data/data_not_bias/QRVO.csv,Data/data_not_bias/A.csv,Data/data_not_bias/FOX.csv,Data/data_not_bias/STJ.csv,Data/data_not_bias/MO.csv,Data/data_not_bias/SWKS.csv,Data/data_not_bias/MCHP.csv,Data/data_not_bias/CDNS.csv,Data/data_not_bias/WLTW.csv,Data/data_not_bias/CHTR.csv,Data/data_not_bias/EIX.csv,Data/data_not_bias/BBY.csv,Data/data_not_bias/ESV.csv,Data/data_not_bias/SNDK.csv,Data/data_not_bias/WBA.csv,Data/data_not_bias/SPLS.csv,Data/data_not_bias/HCA.csv,Data/data_not_bias/AJG.csv,Data/data_not_bias/CRC.csv,Data/data_not_bias/DTE.csv,Data/data_not_bias/AN.csv,Data/data_not_bias/C.csv,Data/data_not_bias/T.csv,Data/data_not_bias/CF.csv,Data/data_not_bias/DISH.csv,Data/data_not_bias/MGM.csv,Data/data_not_bias/XL.csv,Data/data_not_bias/TEG.csv,Data/data_not_bias/TDC.csv,Data/data_not_bias/HUM.csv,Data/data_not_bias/CBOE.csv,Data/data_not_bias/CFG.csv,Data/data_not_bias/WU.csv,Data/data_not_bias/APH.csv,Data/data_not_bias/SYY.csv,Data/data_not_bias/HOT.csv,Data/data_not_bias/MSI.csv,Data/data_not_bias/FCX.csv,Data/data_not_bias/ADM.csv,Data/data_not_bias/LH.csv,Data/data_not_bias/STI.csv,Data/data_not_bias/GGP.csv,Data/data_not_bias/ALTR.csv,Data/data_not_bias/UTX.csv,Data/data_not_bias/BTU.csv,Data/data_not_bias/PKI.csv,Data/data_not_bias/LNT.csv,Data/data_not_bias/BAC.csv,Data/data_not_bias/LNC.csv,Data/data_not_bias/BLD.csv,Data/data_not_bias/PSX.csv,Data/data_not_bias/GPN.csv,Data/data_not_bias/SRCL.csv,Data/data_not_bias/PPG.csv,Data/data_not_bias/RIG.csv,Data/data_not_bias/BMS.csv,Data/data_not_bias/RHT.csv,Data/data_not_bias/IRM.csv,Data/data_not_bias/IQV.csv,Data/data_not_bias/WYN.csv,Data/data_not_bias/ESS.csv,Data/data_not_bias/NOV.csv,Data/data_not_bias/NAVI.csv,Data/data_not_bias/HAL.csv,Data/data_not_bias/STZ.csv,Data/data_not_bias/FLS.csv,Data/data_not_bias/TSO.csv,Data/data_not_bias/DXC.csv,Data/data_not_bias/Q.csv,Data/data_not_bias/CC.csv,Data/data_not_bias/ADI.csv,Data/data_not_bias/F.csv,Data/data_not_bias/HOG.csv,Data/data_not_bias/ADBE.csv,Data/data_not_bias/TDG.csv,Data/data_not_bias/MJN.csv,Data/data_not_bias/JCP.csv
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000
